yield_mg_ha,year,site,hybrid,previous_crop,longitude,latitude,soilp_h,om_pct,soilk_ppm,soilp_ppm
9.65828479,2014,DEH1,M0035/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.34170866,2014,DEH1,M0039/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.67393226,2014,DEH1,M0039/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
15.39723509,2014,DEH1,M0041/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.30819464,2014,DEH1,M0042/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
16.204917780000002,2014,DEH1,M0045/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.18241963,2014,DEH1,M0051/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.8292409,2014,DEH1,M0052/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.97714723,2014,DEH1,M0057/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.77720596,2014,DEH1,M0058/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.96361548,2014,DEH1,M0058/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.191844565,2014,DEH1,M0066/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.08997879,2014,DEH1,M0075/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.14867053,2014,DEH1,M0076/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.50870645,2014,DEH1,M0083/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.91249623,2014,DEH1,M0085/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.0221366405,2014,DEH1,M0088/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.922658355,2014,DEH1,M0099/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.268240745,2014,DEH1,M0099/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.89878186,2014,DEH1,M0101/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.077629345,2014,DEH1,M0106/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.72780938,2014,DEH1,M0114/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.0547284775,2014,DEH1,M0118/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.01268094,2014,DEH1,M0143/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.750038535,2014,DEH1,M0143/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.126057203,2014,DEH1,M0151/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.997003492,2014,DEH1,M0154/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.18590403,2014,DEH1,M0154/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.01448231,2014,DEH1,M0159/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.792204605,2014,DEH1,M0163/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.791514735,2014,DEH1,M0164/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.19996867,2014,DEH1,M0172/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.941686105,2014,DEH1,M0186/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
8.538881226,2014,DEH1,M0266/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.22802179,2014,DEH1,M0269/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.440981845,2014,DEH1,M0272/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.02871476,2014,DEH1,M0287/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.02837141,2014,DEH1,M0296/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.843428375,2014,DEH1,M0297/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.6780905565,2014,DEH1,M0311/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.829686795,2014,DEH1,M0317/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.053374395,2014,DEH1,M0317/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.36385873,2014,DEH1,M0321/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.09052823,2014,DEH1,M0323/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.9369975045,2014,DEH1,M0325/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.428892336,2014,DEH1,M0325/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.40864165,2014,DEH1,M0326/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.34163234,2014,DEH1,M0346/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.15432904,2014,DEH1,M0352/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
7.705418524000001,2014,DEH1,M0355/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.2743345,2014,DEH1,M0369/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
8.78169302,2014,DEH1,M0378/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.1048350365,2014,DEH1,M0382/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.317997044999998,2014,DEH1,MO44_LH145_0138/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
15.31928801,2014,DEH1,MO44_LH145_0143/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.773678962,2014,DEH1,MOG_LH123HT-059-1-1-1-1-B/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.34990967,2014,DEH1,MOG_LH145_0057/PB80,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.07062316825,2014,DEH1,MOG_LH145_0131/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.921504245,2014,DEH1,MOG_MO45-030-1-1-1-1-B/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.009874365,2014,DEH1,MOG_MO45-054-1-1-1-1-B/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.247008316,2014,DEH1,MOG_MO45-055-1-1-1-1-B/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.871163,2014,DEH1,MOG_MO45-071-1-1-1-1-B/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.48044626,2014,DEH1,MOG_MO45-074-1-1-1-1-B/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.645762985,2014,DEH1,MOG_MO45-085-1-1-1-1-B/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.832827845,2014,DEH1,MOG_NC230-009-1-1-1-1-B/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.53148879,2014,DEH1,MOG_OH43_0300/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.1209396515,2014,DEH1,MOG_PHG83-014-1-1-1-1-B/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.87284919,2014,DEH1,MOG_PHG83-090-1-1-1-1-B/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.27216632,2014,DEH1,MOG_PHG83-129-1-1-1-1-B/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.912910775,2014,DEH1,PB80/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.391565155,2014,DEH1,PHB47/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.61586727,2014,DEH1,PHG39/PHG35,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.16024905,2014,DEH1,PHG39/PHM49,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.7080499685,2014,DEH1,PHG39/PHN82,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.712600905,2014,DEH1,PHG39/TX205,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.67796177,2014,DEH1,PHN11_LH145_0029/PB80,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.456886885,2014,DEH1,PHN11_OH43_0142/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.693046596,2014,DEH1,PHN11_OH43_0190/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.674393155,2014,DEH1,PHN11_OH43_0215/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.68626297,2014,DEH1,PHN11_PHG47_0048/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.480931017,2014,DEH1,PHN11_PHG47_0172/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.65294991,2014,DEH1,PHN11_PHG47_0251/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.969569617,2014,DEH1,PHN11_PHG47_0287/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.25985198,2014,DEH1,PHN11_PHG47_0388/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.774927725,2014,DEH1,PHN11_PHW65_0015/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.396228905,2014,DEH1,PHN11_PHW65_0065/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
15.000672475,2014,DEH1,PHN11_PHW65_0101/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.714669305,2014,DEH1,PHN11_PHW65_0237/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.723262775,2014,DEH1,PHN11_PHW65_0275/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.54686214,2014,DEH1,PHN11_PHW65_0294/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.41513911,2014,DEH1,PHN11_PHW65_0312/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.734106865,2014,DEH1,PHN11_PHW65_0323/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.4004631255,2014,DEH1,PHN11_PHW65_0328/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.30732295,2014,DEH1,PHN11_PHW65_0359/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.1018584645,2014,DEH1,PHW52/PHG35,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.4715778655,2014,DEH1,PHW52/PHM49,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.173601335,2014,DEH1,PHW52/PHN82,Soybean,-75.204048,38.637405,NA,NA,NA,NA
15.80311298,2014,DEH1,PHW52/TX205,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.88245438,2014,DEH1,PHW65_MOG_0029/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.0668479715,2014,DEH1,PHW65_MOG_0176/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.1487932,2014,DEH1,PHW65_MOG_0271/PB80,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.4724819,2014,DEH1,TX130_RP/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.662354986666667,2014,DEH1,TX204/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.9403971015,2014,DEH1,TX303/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.65102903,2014,DEH1,TX714/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.86081865,2014,DEH1,TX740/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.21904847,2014,DEH1,TX772/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.967548553333334,2014,DEH1,TX772W/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.770632175,2014,DEH1,TX785/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.53619278,2014,DEH1,TX951/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.709473862,2014,DEH1,W10004_0032/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.909644685,2014,DEH1,W10004_0076/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
8.698147776999999,2014,DEH1,W10004_0097/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.84387192,2014,DEH1,W10004_0227/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.91795673,2014,DEH1,W10005_0029/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.3840760875,2014,DEH1,W10005_0037/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.742218348,2014,DEH1,W10005_0107/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.1016145,2014,DEH1,W10005_0147/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.15223067,2014,DEH1,W10005_0220/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
15.54898496,2014,DEH1,Z013E0002/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.114233335,2014,DEH1,Z013E0006/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.76110844,2014,DEH1,Z013E0007/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.88421828,2014,DEH1,Z013E0012/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.2514861,2014,DEH1,Z013E0014/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.91727141,2014,DEH1,Z013E0019/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
15.40152177,2014,DEH1,Z013E0020/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.78434043,2014,DEH1,Z013E0021/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.934131955,2014,DEH1,Z013E0022/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.02280046,2014,DEH1,Z013E0022/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.737698955,2014,DEH1,Z013E0026/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.26803425,2014,DEH1,Z013E0026/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.491652040000002,2014,DEH1,Z013E0027/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.7073253945,2014,DEH1,Z013E0028/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.284757941,2014,DEH1,Z013E0032/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
18.43474312,2014,DEH1,Z013E0034/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.78755031,2014,DEH1,Z013E0036/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.36817676,2014,DEH1,Z013E0037/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.289486778,2014,DEH1,Z013E0037/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.11886988,2014,DEH1,Z013E0039/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
9.979504555,2014,DEH1,Z013E0044/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.31663783,2014,DEH1,Z013E0045/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.76058108,2014,DEH1,Z013E0046/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.931470135,2014,DEH1,Z013E0046/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.379626903999998,2014,DEH1,Z013E0047/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.150369346000002,2014,DEH1,Z013E0052/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.29265267,2014,DEH1,Z013E0055/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.66247226,2014,DEH1,Z013E0056/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.95731149,2014,DEH1,Z013E0059/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.353260959,2014,DEH1,Z013E0062/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.771459298,2014,DEH1,Z013E0063/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.0370694,2014,DEH1,Z013E0067/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.754975825,2014,DEH1,Z013E0072/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.830387505,2014,DEH1,Z013E0073/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.6121416775,2014,DEH1,Z013E0074/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.58027972,2014,DEH1,Z013E0078/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
16.158277679999998,2014,DEH1,Z013E0079/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.03224452,2014,DEH1,Z013E0080/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.5231304,2014,DEH1,Z013E0082/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
15.938705375,2014,DEH1,Z013E0087/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.52283813,2014,DEH1,Z013E0088/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.2494463,2014,DEH1,Z013E0090/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.87786517,2014,DEH1,Z013E0093/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
15.016192945,2014,DEH1,Z022E0003/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.5116207115,2014,DEH1,Z022E0005/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.562839755,2014,DEH1,Z022E0006/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.42340797,2014,DEH1,Z022E0008/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.247699168,2014,DEH1,Z022E0009/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.35549797,2014,DEH1,Z022E0017/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.562743315,2014,DEH1,Z022E0017/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.252056636,2014,DEH1,Z022E0023/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.410913775,2014,DEH1,Z022E0025/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.6058990125,2014,DEH1,Z022E0027/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.393977885,2014,DEH1,Z022E0042/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.002995097,2014,DEH1,Z022E0046/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.17178261,2014,DEH1,Z022E0048/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.440077415,2014,DEH1,Z022E0048/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.62443924,2014,DEH1,Z022E0051/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.701195145,2014,DEH1,Z022E0053/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.862964355,2014,DEH1,Z022E0059/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.9140775,2014,DEH1,Z022E0073/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.940179765,2014,DEH1,Z022E0073/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.170419065,2014,DEH1,Z022E0077/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.8441318525,2014,DEH1,Z022E0077/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.82575806,2014,DEH1,Z022E0095/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.4107802565,2014,DEH1,Z022E0095/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.9724398955,2014,DEH1,Z022E0097/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.516473195,2014,DEH1,Z022E0097/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.671995015,2014,DEH1,Z022E0108/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.56315826,2014,DEH1,Z022E0108/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.19519683,2014,DEH1,Z022E0110/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.100532975,2014,DEH1,Z022E0110/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
10.52341795,2014,DEH1,Z022E0114/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.46746119,2014,DEH1,Z022E0121/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.510652575,2014,DEH1,Z022E0121/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.482469285,2014,DEH1,Z022E0123/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
7.683711599,2014,DEH1,Z022E0130/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
13.62054226,2014,DEH1,Z022E0142/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.10047302,2014,DEH1,Z022E0149/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
12.044491415,2014,DEH1,Z022E0155/LH195,Soybean,-75.204048,38.637405,NA,NA,NA,NA
11.68086577,2014,DEH1,Z022E0160/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
14.17297655,2014,DEH1,Z022E0166/LH185,Soybean,-75.204048,38.637405,NA,NA,NA,NA
4.688355239,2014,GAH1,B37/C103,Cotton,-83.555016,31.506544,NA,NA,NA,NA
5.977129123,2014,GAH1,B37/H95,Cotton,-83.555016,31.506544,NA,NA,NA,NA
6.2852283505,2014,GAH1,B73/MO17,Cotton,-83.555016,31.506544,NA,NA,NA,NA
9.725063249,2014,GAH1,B73/PHG35,Cotton,-83.555016,31.506544,NA,NA,NA,NA
8.045371833499999,2014,GAH1,B73/PHM49,Cotton,-83.555016,31.506544,NA,NA,NA,NA
0.915960821,2014,GAH1,B73/PHN82,Cotton,-83.555016,31.506544,NA,NA,NA,NA
8.6763730295,2014,GAH1,B73/TX205,Cotton,-83.555016,31.506544,NA,NA,NA,NA
6.2154037165,2014,GAH1,B73_NC230-032-1-1-1-1/LH195,Cotton,-83.555016,31.506544,NA,NA,NA,NA
8.2526342735,2014,GAH1,B73_NC230-041-1-1-1-1/LH195,Cotton,-83.555016,31.506544,NA,NA,NA,NA
4.3187544785,2014,GAH1,B73_NC230-041-1-1-1-1/PB80,Cotton,-83.555016,31.506544,NA,NA,NA,NA
7.044976241500001,2014,GAH1,B73_NC230-126-1-1-1-1/LH195,Cotton,-83.555016,31.506544,NA,NA,NA,NA
3.851333194,2014,GAH1,B73_NC230-127-1-1-1-1/PB80,Cotton,-83.555016,31.506544,NA,NA,NA,NA
7.9626154365,2014,GAH1,B73_NC230-128-1-1-1-1/LH195,Cotton,-83.555016,31.506544,NA,NA,NA,NA
3.6587187285,2014,GAH1,B73_NC230-128-1-1-1-1/PB80,Cotton,-83.555016,31.506544,NA,NA,NA,NA
9.4232201095,2014,GAH1,B73_NC230-129-1-1-1-1/LH195,Cotton,-83.555016,31.506544,NA,NA,NA,NA
10.1662770845,2014,GAH1,CGR01/LH198,Cotton,-83.555016,31.506544,NA,NA,NA,NA
5.1689559145,2014,GAH1,LH132/LH51,Cotton,-83.555016,31.506544,NA,NA,NA,NA
