year,site,date_planted,date_harvested,longitude,latitude
2023,MNH1,2023-05-17,2023-11-14,-93.53273125,44.06856754
2023,MOH1,2023-05-24,2023-11-08,-92.20998995,38.89855297
2023,MOH2,2023-05-09,2023-10-18,-92.35306354,38.92891073
2023,NCH1,2023-04-17,2023-09-21,-78.492989,35.667324
2023,NEH1,2023-05-16,2023-10-23,-96.596201,40.8613
2023,NEH3,2023-05-25,2023-10-23,-100.752334,41.056578
2023,NYH2,2023-05-12,2023-11-10,-76.6564892,42.732946
2023,NYH3,2023-05-12,2023-11-10,-76.6555248,42.7330187
2023,OHH1,2023-05-23,2023-11-29,-83.674355,39.855978
2023,SCH1,2023-05-06,2023-09-20,-82.7377,34.62238
2023,TXH1,2023-03-01,2023-07-26,-96.43237879,30.5494533
2023,TXH2,2023-03-01,2023-07-24,-96.43264476,30.54967586
2023,TXH3,2023-04-14,2023-08-18,-96.43191995,30.54905331
2023,WIH1,2023-05-03,2023-10-24,-89.529618,43.05719875
2023,WIH2,2023-05-11,2023-11-27,-89.38508,43.3045162
2023,WIH3,2023-04-26,2023-11-14,-89.544413,44.1150208
