trees,tree_depth,min_n,loss_reduction,sample_size,mtry,learn_rate
1917,4,12,0.008489551100254428,0.5569781281217001,5,0.012336192978225623
1129,9,37,0.002468134082612779,0.6092551123211161,6,0.023263775282983984
1673,3,24,5.761716594852967e-5,0.6889233060274274,9,0.0013956540030958735
1479,9,33,0.007393075046726682,0.5337895980034955,12,0.05689245737841321
1057,9,17,49.811175226443055,0.5951195470732636,3,0.0025359132182643214
372,8,37,0.5526369785139237,0.7052812618925236,8,0.03503621317847641
1826,7,5,0.003111896475922413,0.5240821897762362,7,0.0017319806781285548
788,5,31,42.43160861488862,0.6730627401266247,9,0.005173617258789393
1254,9,7,1.17991958442568,0.8129904817801434,5,0.05040914435122069
486,7,23,60.103036074247314,0.8497389404755086,7,0.01493844839143899
1466,8,11,0.011696789937150152,0.9344741145451554,6,0.006677515005251392
579,10,14,5.8120123729467315,0.5195818211277947,5,0.0020930095525204116
1517,4,14,1.3135632508061522e-5,0.9690721188287716,9,0.007905287648434213
1157,7,31,1.8198761476071943e-5,0.6931161701388191,4,0.003074213982187471
526,7,30,4.375634774642267e-4,0.7691737809206824,12,0.009117138164521853
885,6,21,3.5620661106622595,0.6783392767538317,11,0.0691270985455074
1418,5,8,0.004984787300127398,0.775361796519719,9,0.07945021921788364
1969,4,25,2.071104539215092,0.5630710733542219,11,0.041154974223019336
1874,4,26,1.5750726108272777e-4,0.5092206243961118,3,0.06002686475393023
672,7,18,13.215458112609408,0.6367404937278479,12,0.025962681447734896
1286,8,35,4.9775352475915314e-5,0.790215758200502,6,0.0010646031309058987
