year,site,soilpH,om_pct,soilk_ppm,soilp_ppm
2022,NEH1_2022,6.3,3.4,231,56
2022,NYH2_2022,7.9,3.7,38,13
2022,NYH3_2022,8,3.5,45,15
2022,OHH1_2022,6,4.8,126,61
2022,SCH1_2022,6.9,4.5,100,52
2022,TXH1_2022,8.2,1.9,151,8
2022,TXH2_2022,8.3,1.8,150,9
2022,TXH3_2022,8.1,2.6,190,7
2022,WIH1_2022,6.8,3.5,188,90
2022,WIH2_2022,6.8,3.9,152,56
2022,WIH3_2022,5.3,0.9,104,103
2023,DEH1_2023,6.2,1.5,192,205
2023,GAH1_2023,7,0.8,134,102
2023,GAH2_2023,5.8,2.5,165,69
2023,IAH1_2023,5.9,4.9,160,42
2023,IAH2_2023,5.7,4.2,251,52
2023,IAH3_2023,5.9,4.1,187,55
2023,IAH4_2023,5.9,3.1,192,49
2023,INH1_2023,7,4.2,160,32
2023,MIH1_2023,6.6,2.6,135,67
2023,MNH1_2023,7.1,4.6,162,52
2023,MOH1_2023,7,3.1,136,28
2023,MOH2_2023,7.4,2.3,148,63
2023,NCH1_2023,5.6,0.8,98,91
2023,NEH1_2023,6.1,2.5,124,27
2023,NYH2_2023,7.9,3.1,55,13
2023,NYH3_2023,7.4,3.2,50,11
2023,OHH1_2023,7.6,5.3,128,41
2023,TXH1_2023,8.1,2.4,371,32
2023,TXH2_2023,7.8,2.2,418,37
2023,TXH3_2023,8.1,2.4,442,36
2023,WIH1_2023,7.1,4.1,124,91
2023,WIH2_2023,6.5,5.2,94,48
2023,WIH3_2023,5.6,0.7,113,74
