year,site,replicate,block,hybrid,date_planted,date_harvested,yield_mg_ha,grain_moisture
2014,DEH1,1,2,Z022E0053/LH185,5/5/14,9/29/14,10.1952773,17.6
2014,DEH1,1,2,Z022E0073/LH185,5/5/14,9/29/14,12.7415486,19
2014,DEH1,1,2,Z022E0160/LH185,5/5/14,9/29/14,11.68086577,20.8
2014,DEH1,1,2,Z022E0077/LH185,5/5/14,9/29/14,10.59374343,18.1
2014,DEH1,1,2,Z022E0025/LH185,5/5/14,9/29/14,10.08365133,17.3
2014,DEH1,1,2,Z022E0008/LH185,5/5/14,9/29/14,10.42340797,18.9
2014,DEH1,1,2,Z022E0027/LH185,5/5/14,9/29/14,8.691552885,20.4
2014,DEH1,1,2,Z022E0003/LH185,5/5/14,9/29/14,14.24302475,22.3
2014,DEH1,1,2,Z022E0005/LH185,5/5/14,9/29/14,9.668593053,18.5
2014,DEH1,1,2,Z022E0121/LH185,5/5/14,9/29/14,12.25525055,21
2014,DEH1,1,2,Z022E0110/LH185,5/5/14,9/29/14,11.57567731,17.4
2014,DEH1,1,2,Z022E0108/LH185,5/5/14,9/29/14,13.94022946,20.2
2014,DEH1,1,2,Z022E0006/LH185,5/5/14,9/29/14,11.94254793,19.8
2014,DEH1,1,2,Z022E0114/LH185,5/5/14,9/29/14,10.44540342,19.2
2014,DEH1,1,2,Z022E0123/LH185,5/5/14,9/29/14,13.21219878,20.8
2014,DEH1,1,2,Z022E0042/LH185,5/5/14,9/29/14,15.94595976,21.6
2014,DEH1,1,2,Z022E0046/LH185,5/5/14,9/29/14,9.307582884,19.3
2014,DEH1,1,2,Z022E0142/LH185,5/5/14,9/29/14,15.17543701,20.9
2014,DEH1,1,3,PHB47/LH195,5/5/14,9/29/14,10.29905686,21.2
2014,DEH1,1,3,TX785/LH195,5/5/14,9/29/14,12.75912248,18.5
2014,DEH1,1,3,W10004_0097/LH195,5/5/14,9/29/14,9.018389548,18.8
2014,DEH1,1,3,W10004_0227/LH195,5/5/14,9/29/14,12.06904988,16.6
2014,DEH1,1,3,TX303/LH195,5/5/14,9/29/14,9.345061333,17.8
2014,DEH1,1,4,MO44_LH145_0138/LH195,5/5/14,9/29/14,12.36025915,20.4
2014,DEH1,1,4,PHN11_OH43_0190/LH195,5/5/14,9/29/14,10.24557831,19.2
2014,DEH1,1,4,PHN11_PHW65_0015/LH195,5/5/14,9/29/14,11.98462032,19.8
2014,DEH1,1,4,MOG_NC230-009-1-1-1-1-B/LH195,5/5/14,9/29/14,11.97646664,23.9
2014,DEH1,1,4,MOG_PHG83-129-1-1-1-1-B/LH195,5/5/14,9/29/14,9.864094011,19.2
2014,DEH1,1,4,PHN11_PHW65_0328/LH195,5/5/14,9/29/14,9.454671371,17
2014,DEH1,1,4,PHN11_PHG47_0048/LH195,5/5/14,9/29/14,10.74156635,18.7
2014,DEH1,1,4,MOG_LH145_0057/PB80,5/5/14,9/29/14,13.11987035,18.8
2014,DEH1,1,4,PHN11_PHW65_0065/LH195,5/5/14,9/29/14,10.21795472,18.6
2014,DEH1,1,4,MOG_MO45-055-1-1-1-1-B/LH195,5/5/14,9/29/14,7.859510332,16.7
2014,DEH1,1,4,PHN11_PHG47_0287/LH195,5/5/14,9/29/14,9.281750404,17.1
2014,DEH1,1,4,MO44_LH145_0143/LH195,5/5/14,9/29/14,16.22589777,19
2014,DEH1,1,4,PHN11_PHW65_0294/LH195,5/5/14,9/29/14,10.73572838,18
2014,DEH1,1,4,MOG_LH145_0131/LH195,5/5/14,9/29/14,12.02858874,17.9
2014,DEH1,1,4,MOG_PHG83-129-1-1-1-1-B/LH195,5/5/14,9/29/14,6.169817569,18
2014,DEH1,1,4,PHN11_PHW65_0101/LH195,5/5/14,9/29/14,15.48239907,23.2
2014,DEH1,1,4,PHW65_MOG_0176/LH195,5/5/14,9/29/14,8.516750883,18.3
2014,DEH1,1,4,MOG_PHG83-014-1-1-1-1-B/LH195,5/5/14,9/29/14,15.47907165,19.6
2014,DEH1,1,4,MOG_MO45-085-1-1-1-1-B/LH195,5/5/14,9/29/14,11.76096369,20.9
2014,DEH1,1,4,MOG_MO45-071-1-1-1-1-B/LH195,5/5/14,9/29/14,12.78264675,18.7
2014,DEH1,1,4,MOG_LH145_0131/LH195,5/5/14,9/29/14,11.60478475,19.6
2014,DEH1,1,4,B73_NC230-127-1-1-1-1/LH195,5/5/14,9/29/14,11.90991823,19
2014,DEH1,1,4,MOG_MO45-074-1-1-1-1-B/LH195,5/5/14,9/29/14,8.68765591,17.9
2014,DEH1,1,4,PHW65_MOG_0271/PB80,5/5/14,9/29/14,10.78920693,18.8
2014,DEH1,1,4,MOG_MO45-054-1-1-1-1-B/LH195,5/5/14,9/29/14,14.32761169,17.7
2014,DEH1,1,4,MOG_MO45-030-1-1-1-1-B/LH195,5/5/14,9/29/14,11.60064795,18.4
2014,DEH1,1,4,PHW65_MOG_0029/LH195,5/5/14,9/29/14,11.32869875,18.2
2014,DEH1,1,4,B73_NC230-128-1-1-1-1/LH195,5/5/14,9/29/14,11.05957486,20.1
2014,DEH1,1,4,PHN11_OH43_0142/LH195,5/5/14,9/29/14,12.823595,19.4
2014,DEH1,1,4,MOG_LH123HT-059-1-1-1-1-B/LH195,5/5/14,9/29/14,7.083269524,22.4
2014,DEH1,1,4,PHN11_PHG47_0251/LH195,5/5/14,9/29/14,12.34617007,21.1
2014,DEH1,1,4,B73_NC230-129-1-1-1-1/LH195,5/5/14,9/29/14,10.97246238,22.9
2014,DEH1,1,4,MOG_OH43_0300/LH195,5/5/14,9/29/14,13.24428891,25.4
2014,DEH1,1,4,PHN11_PHW65_0237/LH195,5/5/14,9/29/14,11.56391143,19
2014,DEH1,1,4,PHN11_PHW65_0359/LH195,5/5/14,9/29/14,10.37540768,18.8
2014,DEH1,1,4,PHN11_PHW65_0323/LH195,5/5/14,9/29/14,14.9711004,19.9
2014,DEH1,1,4,PHN11_PHG47_0172/LH195,5/5/14,9/29/14,8.430650124,19.3
2014,DEH1,1,4,PHN11_LH145_0029/PB80,5/5/14,9/29/14,13.16727111,24.3
2014,DEH1,1,4,PHN11_PHW65_0275/LH195,5/5/14,9/29/14,13.38080309,19.5
2014,DEH1,1,4,B73_NC230-126-1-1-1-1/LH195,5/5/14,9/29/14,8.566459852,18
2014,DEH1,1,4,PHN11_OH43_0215/LH195,5/5/14,9/29/14,14.35870509,19.8
2014,DEH1,1,4,B73_NC230-041-1-1-1-1/LH195,5/5/14,9/29/14,6.567923982,19.3
2014,DEH1,1,4,PHN11_PHG47_0388/LH195,5/5/14,9/29/14,13.07937174,21.1
2014,DEH1,1,4,MOG_PHG83-090-1-1-1-1-B/LH195,5/5/14,9/29/14,13.770531,19.9
2014,DEH1,1,4,PHN11_PHW65_0312/LH195,5/5/14,9/29/14,13.67502503,18.9
2014,DEH1,1,5,M0007/LH195,5/5/14,9/29/14,11.24518349,19.5
2014,DEH1,1,5,M0033/LH195,5/5/14,9/29/14,15.6103474,20.1
2014,DEH1,1,5,M0099/LH195,5/5/14,9/29/14,7.26614277,20.2
2014,DEH1,1,5,M0066/LH195,5/5/14,9/29/14,11.88302907,20.4
2014,DEH1,1,5,M0325/LH195,5/5/14,9/29/14,9.738828612,17.7
2014,DEH1,1,5,M0317/LH195,5/5/14,9/29/14,14.66589198,19.4
2014,DEH1,1,5,M0039/LH195,5/5/14,9/29/14,12.0215442,17.1
2014,DEH1,1,5,M0001/LH195,5/5/14,9/29/14,11.99505223,16.2
2014,DEH1,1,5,M0058/LH195,5/5/14,9/29/14,10.51395278,18.1
2014,DEH1,1,5,M0057/LH195,5/5/14,9/29/14,13.56190022,18.3
2014,DEH1,1,5,M0321/LH195,5/5/14,9/29/14,16.32982721,20.3
2014,DEH1,1,5,M0015/LH195,5/5/14,9/29/14,12.65529046,18.5
2014,DEH1,1,5,M0143/LH195,5/5/14,9/29/14,10.13288816,17.1
2014,DEH1,1,5,M0326/LH195,5/5/14,9/29/14,12.4689549,18.6
2014,DEH1,1,5,M0164/LH195,5/5/14,9/29/14,13.15551272,18.2
2014,DEH1,1,5,M0382/LH195,5/5/14,9/29/14,8.46167607,17.1
2014,DEH1,1,5,M0010/LH195,5/5/14,9/29/14,11.12379258,17.4
2014,DEH1,1,5,M0154/LH195,5/5/14,9/29/14,17.50223343,21.1
2014,DEH1,1,6,Z013E0044/LH195,5/5/14,9/29/14,8.67725397,19.2
2014,DEH1,1,6,Z013E0022/LH195,5/5/14,9/29/14,14.26798041,23.2
2014,DEH1,1,6,Z013E0074/LH195,5/5/14,9/29/14,8.833762655,17.8
2014,DEH1,1,6,Z013E0088/LH195,5/5/14,9/29/14,11.55658211,19.6
2014,DEH1,1,6,Z013E0062/LH195,5/5/14,9/29/14,13.28834726,18.7
2014,DEH1,1,6,Z013E0012/LH195,5/5/14,9/29/14,11.04874575,19.7
2014,DEH1,1,6,Z013E0046/LH195,5/5/14,9/29/14,12.2758221,19.9
2014,DEH1,1,6,Z013E0019/LH195,5/5/14,9/29/14,11.29126526,19.3
2014,DEH1,1,6,Z013E0026/LH195,5/5/14,9/29/14,13.27449799,21.1
2014,DEH1,1,6,Z013E0037/LH195,5/5/14,9/29/14,9.854336576,20.5
2014,DEH1,1,6,Z013E0027/LH195,5/5/14,9/29/14,16.23201303,22.7
2014,DEH1,1,6,Z013E0021/LH195,5/5/14,9/29/14,13.16039893,19
2014,DEH1,1,6,Z013E0047/LH195,5/5/14,9/29/14,9.610145858,19.4
2014,DEH1,1,7,LH198/LH82,5/5/14,9/29/14,10.50362579,17.7
2014,DEH1,1,7,LH132/LH51,5/5/14,9/29/14,13.51022777,17
2014,DEH1,1,7,PHG39/PHN82,5/5/14,9/29/14,8.403461197,17
2014,DEH1,1,7,B73/MO17,5/5/14,9/29/14,11.91684286,19.2
2014,DEH1,1,7,CGR01/LH82,5/5/14,9/29/14,15.31694232,20.1
2014,DEH1,1,7,PHW52/PHM49,5/5/14,9/29/14,9.353964431,16.9
2014,DEH1,1,7,B73/PHN82,5/5/14,9/29/14,13.73172608,19.6
2014,DEH1,1,7,LH74/PHN82,5/5/14,9/29/14,12.7948323,18.7
2014,DEH1,1,7,B37/OH43,5/5/14,9/29/14,12.88817994,19.6
2014,DEH1,1,7,B73/PHG35,5/5/14,9/29/14,9.506486208,16.6
2014,DEH1,1,7,PHG39/PHM49,5/5/14,9/29/14,13.3756321,20
2014,DEH1,1,7,PHW52/PHG35,5/5/14,9/29/14,7.172817609,16.7
2014,DEH1,1,7,PHG39/PHG35,5/5/14,9/29/14,13.06116835,18.9
2014,DEH1,1,7,CG60/LH82,5/5/14,9/29/14,11.76394637,18.2
2014,DEH1,1,7,PHW52/TX205,5/5/14,9/29/14,15.87786754,20.2
2014,DEH1,1,7,LH74/PHG35,5/5/14,9/29/14,9.449785159,17.8
2014,DEH1,1,7,PHG39/TX205,5/5/14,9/29/14,15.40541875,20.2
2014,DEH1,1,7,TX951/LH195,5/5/14,9/29/14,12.46191036,19.9
2014,DEH1,1,7,B73/TX205,5/5/14,9/29/14,10.55533571,19.1
2014,DEH1,1,7,B37/MO17,5/5/14,9/29/14,14.26998885,18.8
2014,DEH1,1,7,LH74/TX205,5/5/14,9/29/14,11.34115409,18.9
2014,DEH1,1,7,LH74/PHM49,5/5/14,9/29/14,5.137829997,17.5
2014,DEH1,1,7,PHW52/PHN82,5/5/14,9/29/14,10.26254516,18
2014,DEH1,1,7,CGR01/LH198,5/5/14,9/29/14,12.60078521,18.1
2014,DEH1,1,7,CG60/LH162,5/5/14,9/29/14,13.16100597,19.7
2014,DEH1,1,7,B73/PHM49,5/5/14,9/29/14,13.57988628,19.5
2014,DEH1,1,8,Z022E0121/LH195,5/5/14,9/29/14,13.59656085,22
2014,DEH1,1,8,Z022E0110/LH195,5/5/14,9/29/14,11.49481499,18.5
2014,DEH1,1,8,Z022E0108/LH195,5/5/14,9/29/14,12.02104958,18.7
2014,DEH1,1,8,Z022E0095/LH195,5/5/14,9/29/14,12.0926266,20
2014,DEH1,1,8,Z022E0073/LH195,5/5/14,9/29/14,11.96654433,20.4
2014,DEH1,1,8,Z022E0048/LH195,5/5/14,9/29/14,9.04947545,20.4
2014,DEH1,1,8,Z022E0077/LH195,5/5/14,9/29/14,12.57083093,22.7
2014,DEH1,1,8,Z022E0017/LH195,5/5/14,9/29/14,15.14976941,19.3
2014,DEH1,1,8,Z022E0155/LH195,5/5/14,9/29/14,10.90482731,21.6
2014,DEH1,1,8,Z022E0097/LH195,5/5/14,9/29/14,10.09047853,18
2014,DEH1,1,9,Z013E0093/LH185,5/5/14,9/29/14,17.14570479,20.2
2014,DEH1,1,9,Z013E0059/LH185,5/5/14,9/29/14,10.88777053,19.6
2014,DEH1,1,9,Z013E0067/LH185,5/5/14,9/29/14,12.66263477,19
2014,DEH1,1,9,Z013E0090/LH185,5/5/14,9/29/14,12.86790816,20.1
2014,DEH1,1,9,Z013E0046/LH185,5/5/14,9/29/14,13.29661335,25.2
2014,DEH1,1,9,Z013E0022/LH185,5/5/14,9/29/14,11.05027456,18.4
2014,DEH1,1,9,Z013E0079/LH185,5/5/14,9/29/14,16.08308846,22.3
2014,DEH1,1,9,Z013E0032/LH185,5/5/14,9/29/14,8.936133302,20.4
2014,DEH1,1,9,Z013E0056/LH185,5/5/14,9/29/14,12.39868936,18.9
2014,DEH1,1,9,Z013E0073/LH185,5/5/14,9/29/14,10.64431424,19.8
2014,DEH1,1,9,Z013E0080/LH185,5/5/14,9/29/14,10.57399624,18.3
2014,DEH1,1,9,Z013E0052/LH185,5/5/14,9/29/14,8.854086902,18.8
2014,DEH1,1,9,Z013E0036/LH185,5/5/14,9/29/14,11.28692613,17.7
2014,DEH1,1,9,Z013E0072/LH185,5/5/14,9/29/14,10.45207325,18.2
2014,DEH1,1,9,Z013E0020/LH185,5/5/14,9/29/14,13.32299291,18.6
2014,DEH1,1,9,Z013E0002/LH185,5/5/14,9/29/14,15.58701798,18.5
2014,DEH1,1,9,Z013E0082/LH185,5/5/14,9/29/14,11.58347126,16.9
2014,DEH1,1,9,Z013E0045/LH185,5/5/14,9/29/14,11.80317097,16.8
2014,DEH1,1,9,Z013E0039/LH185,5/5/14,9/29/14,11.11798458,17.9
2014,DEH1,1,9,Z013E0037/LH185,5/5/14,9/29/14,13.19125252,20.1
2014,DEH1,1,9,Z013E0034/LH185,5/5/14,9/29/14,18.43474312,19.9
2014,DEH1,1,9,Z013E0078/LH185,5/5/14,9/29/14,13.06533512,19.1
2014,DEH1,1,9,Z013E0063/LH185,5/5/14,9/29/14,9.458261086,18.1
2014,DEH1,1,9,Z013E0087/LH185,5/5/14,9/29/14,14.51546857,23.2
2014,DEH1,1,9,Z013E0055/LH185,5/5/14,9/29/14,11.67801048,21.1
2014,DEH1,1,9,Z013E0026/LH185,5/5/14,9/29/14,11.84671222,19.1
2014,DEH1,1,9,Z013E0028/LH185,5/5/14,9/29/14,7.667456699,18.8
2014,DEH1,1,9,Z013E0014/LH185,5/5/14,9/29/14,10.20762773,17.6
2014,DEH1,1,9,Z013E0006/LH185,5/5/14,9/29/14,14.01948053,18.7
2014,DEH1,1,10,CG120/LH185,5/5/14,9/29/14,11.05695938,18.8
2014,DEH1,1,10,CGR03/LH185,5/5/14,9/29/14,10.96705157,23.1
2014,DEH1,1,10,W10005_0220/LH185,5/5/14,9/29/14,10.15223067,20.5
2014,DEH1,1,10,TX740/LH185,5/5/14,9/29/14,11.23611551,19
2014,DEH1,1,10,CG65/LH185,5/5/14,9/29/14,14.35750602,19.3
2014,DEH1,1,10,PB80/LH185,5/5/14,9/29/14,12.12194388,17.6
2014,DEH1,1,10,W10005_0147/LH185,5/5/14,9/29/14,13.1016145,18.8
2014,DEH1,1,10,W10005_0029/LH185,5/5/14,9/29/14,13.91795673,20.6
2014,DEH1,1,10,W10005_0107/LH185,5/5/14,9/29/14,11.83750935,18.2
2014,DEH1,1,10,TX772W/LH185,5/5/14,9/29/14,10.98176267,18.5
2014,DEH1,1,10,TX204/LH185,5/5/14,9/29/14,11.68410326,19.8
2014,DEH1,1,10,W10005_0037/LH185,5/5/14,9/29/14,9.461566023,16.5
2014,DEH1,1,10,LH195/LH185,5/5/14,9/29/14,17.59362509,20.5
2014,DEH1,1,10,TX772/LH185,5/5/14,9/29/14,12.4408217,17.9
2014,DEH1,1,10,TX714/LH185,5/5/14,9/29/14,10.65102903,17.8
2014,DEH1,1,10,W10004_0076/LH185,5/5/14,9/29/14,11.63935545,18.3
2014,DEH1,2,1,Z022E0155/LH195,5/5/14,9/29/14,13.18415552,22.5
2014,DEH1,2,1,Z022E0017/LH195,5/5/14,9/29/14,11.97571722,20.1
2014,DEH1,2,1,Z022E0073/LH195,5/5/14,9/29/14,11.9138152,21.3
2014,DEH1,2,1,Z022E0097/LH195,5/5/14,9/29/14,12.94246786,21.5
2014,DEH1,2,1,Z022E0048/LH195,5/5/14,9/29/14,13.83067938,21.8
2014,DEH1,2,1,Z022E0121/LH195,5/5/14,9/29/14,11.4247443,20.6
2014,DEH1,2,1,Z022E0110/LH195,5/5/14,9/29/14,12.70625096,20.4
2014,DEH1,2,1,Z022E0108/LH195,5/5/14,9/29/14,11.10526694,19.9
2014,DEH1,2,1,Z022E0095/LH195,5/5/14,9/29/14,8.728933913,21.3
2014,DEH1,2,1,Z022E0077/LH195,5/5/14,9/29/14,9.117432775,23
2014,DEH1,2,2,Z013E0087/LH185,5/5/14,9/29/14,17.36194218,21.2
2014,DEH1,2,2,Z013E0007/LH185,5/5/14,9/29/14,12.76110844,20.8
2014,DEH1,2,2,Z013E0093/LH185,5/5/14,9/29/14,12.61002555,22.1
2014,DEH1,2,2,Z013E0080/LH185,5/5/14,9/29/14,15.4904928,22
2014,DEH1,2,2,Z013E0036/LH185,5/5/14,9/29/14,16.28817449,23.2
2014,DEH1,2,2,Z013E0014/LH185,5/5/14,9/29/14,12.29534447,21.5
2014,DEH1,2,2,Z013E0073/LH185,5/5/14,9/29/14,11.01646077,25
2014,DEH1,2,2,Z013E0072/LH185,5/5/14,9/29/14,13.0578784,20.8
2014,DEH1,2,2,Z013E0002/LH185,5/5/14,9/29/14,15.51095194,20.7
2014,DEH1,2,2,Z013E0067/LH185,5/5/14,9/29/14,15.41150403,20.6
2014,DEH1,2,2,Z013E0028/LH185,5/5/14,9/29/14,13.74719409,22.6
2014,DEH1,2,2,Z013E0046/LH185,5/5/14,9/29/14,16.22454881,23.5
2014,DEH1,2,2,Z013E0079/LH185,5/5/14,9/29/14,16.2334669,21.8
2014,DEH1,2,2,Z013E0037/LH185,5/5/14,9/29/14,11.545101,21.8
2014,DEH1,2,2,Z013E0078/LH185,5/5/14,9/29/14,14.09522432,22.6
2014,DEH1,2,2,Z013E0039/LH185,5/5/14,9/29/14,15.11975518,22.7
2014,DEH1,2,2,Z013E0022/LH185,5/5/14,9/29/14,12.81798935,21.9
2014,DEH1,2,2,Z013E0006/LH185,5/5/14,9/29/14,14.20898614,21
2014,DEH1,2,2,Z013E0032/LH185,5/5/14,9/29/14,11.63338258,21.6
2014,DEH1,2,2,Z013E0045/LH185,5/5/14,9/29/14,14.83010469,22.7
2014,DEH1,2,2,Z013E0026/LH185,5/5/14,9/29/14,15.62868569,21.6
2014,DEH1,2,2,Z013E0059/LH185,5/5/14,9/29/14,13.02685245,21.7
2014,DEH1,2,2,Z013E0082/LH185,5/5/14,9/29/14,13.46278954,22.9
2014,DEH1,2,2,Z013E0052/LH185,5/5/14,9/29/14,15.44665179,24.5
2014,DEH1,2,2,Z013E0020/LH185,5/5/14,9/29/14,17.48005063,21.2
2014,DEH1,2,2,Z013E0090/LH185,5/5/14,9/29/14,11.63098444,22.4
2014,DEH1,2,2,Z013E0056/LH185,5/5/14,9/29/14,14.92625516,23.1
2014,DEH1,2,2,Z013E0055/LH185,5/5/14,9/29/14,14.90729486,22.9
2014,DEH1,2,2,Z013E0063/LH185,5/5/14,9/29/14,14.08465751,20.7
2014,DEH1,2,3,M0186/LH185,5/5/14,9/29/14,11.52546623,19.9
2014,DEH1,2,3,M0287/LH185,5/5/14,9/29/14,12.45879278,17.7
2014,DEH1,2,3,M0352/LH185,5/5/14,9/29/14,12.41397751,18.8
2014,DEH1,2,3,M0317/LH185,5/5/14,9/29/14,10.36356685,19.6
2014,DEH1,2,3,M0001/LH185,5/5/14,9/29/14,11.55784113,18.4
2014,DEH1,2,3,M0269/LH185,5/5/14,9/29/14,11.22802179,16.3
2014,DEH1,2,3,M0051/LH185,5/5/14,9/29/14,11.30723538,18
2014,DEH1,2,3,M0114/LH185,5/5/14,9/29/14,11.72780938,17.2
2014,DEH1,2,3,M0028/LH185,5/5/14,9/29/14,9.369837126,17.2
2014,DEH1,2,3,M0052/LH185,5/5/14,9/29/14,10.74966758,18.5
2014,DEH1,2,3,M0030/LH185,5/5/14,9/29/14,15.17573678,19
2014,DEH1,2,3,M0297/LH185,5/5/14,9/29/14,11.58616917,18.2
2014,DEH1,2,3,M0101/LH185,5/5/14,9/29/14,13.22837125,17.9
2014,DEH1,2,3,M0088/LH185,5/5/14,9/29/14,12.32254838,18.6
2014,DEH1,2,3,M0346/LH185,5/5/14,9/29/14,12.73532842,18.3
2014,DEH1,2,3,M0378/LH185,5/5/14,9/29/14,8.78169302,16.3
2014,DEH1,2,3,M0045/LH185,5/5/14,9/29/14,10.7781455,20.1
2014,DEH1,2,3,M0027/LH185,5/5/14,9/29/14,12.24663222,19.5
2014,DEH1,2,3,M0272/LH185,5/5/14,9/29/14,10.77095107,17.4
2014,DEH1,2,3,M0296/LH185,5/5/14,9/29/14,11.93629778,17.9
2014,DEH1,2,3,M0143/LH185,5/5/14,9/29/14,14.68711553,18
2014,DEH1,2,3,M0012/LH185,5/5/14,9/29/14,11.65698928,17.7
2014,DEH1,2,3,M0003/LH185,5/5/14,9/29/14,12.50555653,18.6
2014,DEH1,2,3,M0163/LH185,5/5/14,9/29/14,11.26616722,17.4
2014,DEH1,2,3,M0323/LH185,5/5/14,9/29/14,13.31118206,17
2014,DEH1,2,3,M0311/LH185,5/5/14,9/29/14,9.703478513,17
2014,DEH1,2,3,M0076/LH185,5/5/14,9/29/14,13.89932617,20.4
2014,DEH1,2,3,M0039/LH185,5/5/14,9/29/14,11.34170866,19.5
2014,DEH1,2,3,M0154/LH185,5/5/14,9/29/14,9.759010464,18.1
2014,DEH1,2,3,M0022/LH185,5/5/14,9/29/14,12.5670089,18.2
2014,DEH1,2,3,M0058/LH185,5/5/14,9/29/14,14.54382659,18.8
2014,DEH1,2,3,M0106/LH185,5/5/14,9/29/14,13.72058972,17.9
2014,DEH1,2,3,M0118/LH185,5/5/14,9/29/14,14.32589552,19
2014,DEH1,2,3,M0369/LH185,5/5/14,9/29/14,10.544026970000001,18.2
2014,DEH1,2,3,M0099/LH185,5/5/14,9/29/14,12.59773508,18
2014,DEH1,2,3,M0035/LH185,5/5/14,9/29/14,8.94971278,15.9
2014,DEH1,2,3,M0083/LH185,5/5/14,9/29/14,12.76717873,17.7
2014,DEH1,2,3,M0075/LH185,5/5/14,9/29/14,10.51285114,16.5
2014,DEH1,2,3,M0172/LH185,5/5/14,9/29/14,10.19996867,16.5
2014,DEH1,2,3,M0151/LH185,5/5/14,9/29/14,8.187703436,16.6
